intent,action
醫生說腰痛時不要睡太軟的床，缺乏支撐力會讓脊椎曲線變形，加重腰椎負擔,ADD_MEDICATION
醫生說服用抗生素時不要自行停藥，必須完成整個療程以防止細菌產生抗藥性,ADD_MEDICATION
醫生建議服藥期間不要吃葡萄柚，以免與藥物產生交互作用，導致藥效過強或產生毒性,ADD_MEDICATION
醫生說用藥後不要立刻躺下，應保持坐姿或站姿至少10到15分鐘，避免藥物灼傷食道,ADD_MEDICATION
醫生建議服用鐵劑時不要配茶或咖啡，單寧酸會阻礙鐵質的吸收,ADD_MEDICATION
醫生說不要將藥品存放在浴室，潮濕的環境會導致藥丸受潮變質,ADD_MEDICATION
醫生建議不要過度掏耳朵，耳垢具有保護作用，過度清理反而容易引起外耳道發炎,ADD_MEDICATION
醫生說感冒時不要憋鼻涕，用力不當或憋氣可能導致鼻涕倒流進入中耳，引發中耳炎,ADD_MEDICATION
醫生建議不要長期熬夜，長期睡眠不足會顯著降低免疫系統，增加罹患心血管疾病的風險,ADD_MEDICATION
醫生說傷口癒合期不要抓癢，結痂時的搔癢是正常反應，抓破皮會導致二次感染或留下疤痕,ADD_MEDICATION
醫生建議服用成藥前務必諮詢藥師，避免不同藥物成分重複（如感冒藥與止痛藥），導致藥量超標,ADD_MEDICATION
醫生說傷口不能碰水，需保持乾燥,ADD_MEDICATION
醫生建議感冒藥不要配咖啡吃,ADD_MEDICATION
醫生囑咐不能吃辛辣食物，以免刺激胃黏膜,ADD_MEDICATION
醫生說過敏期間不要喝酒,ADD_MEDICATION
醫生提醒睡前不要運動，否則會影響交感神經導致失眠,ADD_MEDICATION
醫生建議降血壓藥不能突然停掉,ADD_MEDICATION
醫生說骨折初期不要負重行走，必須撐拐杖,ADD_MEDICATION
醫生說眼藥水開瓶超過一個月就不要用,ADD_MEDICATION
醫生建議不要憋尿，預防尿道感染,ADD_MEDICATION
醫生說胃食道逆流不要吃甜食，否則會更嚴重,ADD_MEDICATION
醫生提醒空腹時不要吃這款止痛藥,ADD_MEDICATION
醫生建議打完疫苗不要立刻揉手臂，靜待吸收,ADD_MEDICATION
醫生說痛風發作時不要吃海鮮，以免尿酸飆升,ADD_MEDICATION
醫生建議這款抗生素要固定時間吃,ADD_MEDICATION
醫生說受傷後24小時內不要熱敷，應先冰敷,ADD_MEDICATION
醫生提醒服用安眠藥後不要開車,ADD_MEDICATION
醫生說久坐後不要突然猛力站起，小心姿勢性低血壓,ADD_MEDICATION
醫生建議服用益生菌時不要配熱水，高溫會殺死活菌,ADD_MEDICATION
醫生說類固醇藥膏不要塗太厚,ADD_MEDICATION
醫生提醒懷孕期間不要自行服用成藥,ADD_MEDICATION
我要用悠遊卡,OPEN_CARD
我要搭公車,OPEN_CARD
要刷悠遊卡,OPEN_CARD
我要搭捷運,OPEN_CARD
我要搭輕軌,OPEN_CARD
我要搭火車,OPEN_CARD
我要借腳踏車,OPEN_CARD
我要搭渡輪,OPEN_CARD
我先悠遊卡付款,OPEN_CARD
我先刷悠遊卡再刷載具,OPEN_CARD
我先刷悠遊卡再刷載具,OPEN_CARD
我要用載具,OPEN_CARRIER
先刷載具,OPEN_CARRIER
載具先給你,OPEN_CARRIER
要結帳了,OPEN_CARRIER
要載具,OPEN_CARRIER
不要發票,OPEN_CARRIER
我要載具條碼,OPEN_CARRIER
我要刷條碼,OPEN_CARRIER
我要搭高鐵,OPEN_THSR
等一下要搭高鐵,OPEN_THSR
高鐵要進站了,OPEN_THSR
現在幾點了,GET_TIME
現在時間,GET_TIME
現在時間幾點了,GET_TIME
今天幾號,GET_DATE
醫生說你好,NO_INTENT
醫生說早安,NO_INTENT
醫生說刷載具,NO_INTENT
醫生說謝謝你,NO_INTENT
醫生說再見,NO_INTENT
醫生說晚安,NO_INTENT
醫生說不用謝,NO_INTENT
